hq_id,inv_id,inv_name
592744,592744,supplier1
600320,600320,supplier1
115630,115630,supplier1
122544,122544,supplier1
245377,245377,supplier1
108360,108360,supplier1
122049,122049,supplier1
181303,181303,supplier1
171638,171638,supplier1
447,447,supplier3
16782,16782,supplier3
18224,18224,supplier3
31535,31535,supplier3
32786,32786,supplier3
121904,121904,supplier4
172057,172057,supplier3
235666,235666,supplier4
1140248,1140248,supplier4
1143148,1143148,supplier4
1680068,1680068,supplier4
1733898,1733898,supplier4
109496,109496,supplier1
365150,365150,supplier1
163100,163100,supplier1
210010,210010,supplier1
392037,392037,supplier1
160541,160541,supplier1
390442,390442,supplier1
250732,250732,supplier1
442029,442029,supplier1
453293,453293,supplier1
129367,129367,supplier1
10756,10756,supplier3
12426,12426,supplier3
1899,1899,supplier3
18350,18350,supplier3
19157,19157,supplier3
23451,23451,supplier3
47416,47416,supplier3
108672,108672,supplier4
195106,195106,supplier4
361225,361225,supplier4
1030918,1030918,supplier4
1647148,1647148,supplier4
1686318,1686318,supplier4
1831868,1831868,supplier4
204081,204081,supplier1
309009,309009,supplier1
566409,566409,supplier1
105641,105641,supplier1
468055,468055,supplier1
168381,168381,supplier1
416514,416514,supplier1
216831,216831,supplier1
241725,241725,supplier1
574634,574634,supplier1
114051,114051,supplier1
190486,190486,supplier1
229279,229279,supplier1
10124,10124,supplier3
13045,13045,supplier3
13843,13843,supplier3
3148,3148,supplier3
17408,17408,supplier3
29683,29683,supplier3
33041,33041,supplier3
109052,109052,supplier3
249094,249094,supplier3
288016,288016,supplier3
61934,61934,supplier4
547385,547385,supplier4
1151808,1151808,supplier4
1195638,1195638,supplier4
1649218,1649218,supplier4
1963465,1963465,supplier4
180772,180772,supplier1
205298,205298,supplier1
566506,566506,supplier1
224387,224387,supplier1
130052,130052,supplier1
263698,263698,supplier1
309049,309049,supplier1
200190,200190,supplier1
244586,244586,supplier1
462305,462305,supplier1
118706,118706,supplier1
126186,126186,supplier1
128615,128615,supplier1
494851,494851,supplier1
153615,153615,supplier1
13001,13001,supplier3
15537,15537,supplier3
28652,28652,supplier3
30411,30411,supplier3
42371,42371,supplier3
105682,105682,supplier4
144766,144766,supplier4
298695,298695,supplier4
609005,609005,supplier4
1066838,1066838,supplier4
1113058,1113058,supplier4
1447388,1447388,supplier4
1464008,1464008,supplier4
2008595,2008595,supplier4
429144,429144,supplier1
540614,540614,supplier1
146426,146426,supplier1
180229,180229,supplier1
225177,225177,supplier1
254906,254906,supplier1
125422,125422,supplier1
136138,136138,supplier1
144087,144087,supplier1
550511,550511,supplier1
213251,213251,supplier1
14262,14262,supplier3
21691,21691,supplier3
15654,15654,supplier4
189076,189076,supplier4
295124,295124,supplier3
304697,304697,supplier3
1089768,1089768,supplier4
1190058,1190058,supplier4
1194008,1194008,supplier4
1476068,1476068,supplier4
2024075,2024075,supplier4
142787,142787,supplier1
150968,150968,supplier1
209010,209010,supplier1
