device_id,shift_id,shift_code,event_id,event_start_time,event_end_time
85,00085#A#2023-10-17 06:00,A,30466,2023-10-17T06:00:11Z,2023-10-17T06:01:00Z
85,00085#A#2023-10-17 06:00,A,31009,2023-10-17T06:01:00Z,2023-10-17T06:05:00Z
85,00085#A#2023-10-17 06:00,A,59119,2023-10-17T09:10:01.12Z,2023-10-17T11:30:00Z
85,00085#A#2023-10-17 06:00,A,4485,2023-10-17T07:01:14.993Z,2023-10-17T07:01:14.993Z
85,00085#A#2023-10-17 06:00,A,74478,2023-10-17T14:29:11Z,2023-10-17T14:30:00Z
85,00085#A#2023-10-17 06:00,A,74554,2023-10-17T14:25:00Z,2023-10-17T14:29:00Z
91,00091#A#2023-10-17 06:00,A,74232,2023-10-17T12:00:02.897Z,2023-10-17T14:25:00Z
92,00092#A#2023-10-17 06:00,A,31000,2023-10-17T06:01:00Z,2023-10-17T06:05:00Z
92,00092#A#2023-10-17 06:00,A,46841,2023-10-17T07:08:40.547Z,2023-10-17T09:00:00Z
92,00092#A#2023-10-17 06:00,A,60918,2023-10-17T11:00:00Z,2023-10-17T12:00:00Z
85,00085#A#2023-10-17 06:00,A,30818,2023-10-17T06:00:00Z,2023-10-17T06:01:00Z
85,00085#A#2023-10-17 06:00,A,60923,2023-10-17T11:00:00Z,2023-10-17T12:00:00Z
85,00085#A#2023-10-17 06:00,A,74730,2023-10-17T14:29:00Z,2023-10-17T14:35:00Z
85,00085#A#2023-10-17 06:00,A,46837,2023-10-17T06:05:11Z,2023-10-17T09:00:00Z
85,00085#A#2023-10-17 06:00,A,47321,2023-10-17T09:00:00Z,2023-10-17T09:10:00Z
85,00085#A#2023-10-17 06:00,A,74205,2023-10-17T12:00:02.897Z,2023-10-17T14:25:00Z
91,00091#A#2023-10-17 06:00,A,30967,2023-10-17T06:01:00Z,2023-10-17T06:05:00Z
91,00091#A#2023-10-17 06:00,A,74704,2023-10-17T14:29:00Z,2023-10-17T14:40:00Z
92,00092#A#2023-10-17 06:00,A,74233,2023-10-17T12:00:02.897Z,2023-10-17T14:25:00Z
91,00091#A#2023-10-17 06:00,A,47393,2023-10-17T09:00:00Z,2023-10-17T09:10:00Z
91,00091#A#2023-10-17 06:00,A,59120,2023-10-17T09:10:01.12Z,2023-10-17T11:30:00Z
91,00091#A#2023-10-17 06:00,A,60909,2023-10-17T11:00:00Z,2023-10-17T12:00:00Z
92,00092#A#2023-10-17 06:00,A,30470,2023-10-17T06:00:09Z,2023-10-17T06:01:00Z
92,00092#A#2023-10-17 06:00,A,30820,2023-10-17T06:00:00Z,2023-10-17T06:01:00Z
91,00091#A#2023-10-17 06:00,A,30469,2023-10-17T06:00:03Z,2023-10-17T06:01:00Z
91,00091#A#2023-10-17 06:00,A,31556,2023-10-17T06:05:03Z,2023-10-17T06:10:10.667Z
92,00092#A#2023-10-17 06:00,A,36834,2023-10-17T06:05:09Z,2023-10-17T07:08:40.547Z
